年份	中国	美国
GDP(美元)	占世界%	GDP(美元)	占世界%
2019	14.34万亿 (14,342,902,842,915)	16.3550%	21.37万亿 (21,374,418,877,706)	24.3729%
2018	13.89万亿 (13,894,817,110,036)	16.0900%	20.53万亿 (20,529,049,174,601)	23.7723%
2017	12.31万亿 (12,310,408,652,423)	15.1552%	19.49万亿 (19,485,393,853,000)	23.9882%
2016	11.23万亿 (11,233,277,146,512)	14.7156%	18.71万亿 (18,707,188,235,000)	24.5064%
2015	11.06万亿 (11,061,552,790,044)	14.7098%	18.22万亿 (18,219,297,584,000)	24.2282%
2014	10.48万亿 (10,475,682,846,632)	13.1851%	17.52万亿 (17,521,746,534,000)	22.0536%
2013	9.57万亿 (9,570,405,758,739)	12.3805%	16.78万亿 (16,784,849,190,000)	21.7133%
2012	8.53万亿 (8,532,230,724,141)	11.3542%	16.2万亿 (16,197,007,349,000)	21.5541%
2011	7.55万亿 (7,551,500,425,597)	10.2814%	15.54万亿 (15,542,581,104,000)	21.1612%
2010	6.09万亿 (6,087,164,527,421)	9.2072%	14.99万亿 (14,992,052,727,000)	22.6764%
2009	5.1万亿 (5,101,702,432,883)	8.4472%	14.45万亿 (14,448,933,025,000)	23.9238%
2008	4.59万亿 (4,594,306,848,763)	7.2152%	14.71万亿 (14,712,844,084,000)	23.1060%
2007	3.55万亿 (3,550,342,425,238)	6.1180%	14.45万亿 (14,451,858,650,000)	24.9035%
2006	2.75万亿 (2,752,131,773,355)	5.3437%	13.81万亿 (13,814,611,414,000)	26.8234%
2005	2.29万亿 (2,285,965,892,360)	4.8108%	13.04万亿 (13,036,640,229,000)	27.4356%
2004	1.96万亿 (1,955,347,004,963)	4.4574%	12.21万亿 (12,213,729,147,000)	27.8425%
2003	1.66万亿 (1,660,287,965,662)	4.2632%	11.46万亿 (11,458,243,878,000)	29.4217%
2002	1.47万亿 (1,470,550,015,081)	4.2367%	10.94万亿 (10,936,419,054,000)	31.5082%
2001	1.34万亿 (1,339,395,718,865)	4.0070%	10.58万亿 (10,581,821,399,000)	31.6569%
2000	1.21万亿 (1,211,346,869,605)	3.6032%	10.25万亿 (10,252,345,464,000)	30.4960%
1999	1.09万亿 (1,093,997,267,271)	3.3598%	9.63万亿 (9,630,664,202,000)	29.5766%
1998	1.03万亿 (1,029,043,097,554)	3.2779%	9.06万亿 (9,062,818,211,000)	28.8686%
1997	9616.04亿 (961,603,952,951)	3.0568%	8.58万亿 (8,577,554,463,000)	27.2666%
1996	8637.47亿 (863,746,717,503)	2.7357%	8.07万亿 (8,073,122,000,000)	25.5700%
1995	7345.48亿 (734,547,898,220)	2.3782%	7.64万亿 (7,639,749,000,000)	24.7349%
1994	5643.25亿 (564,324,670,005)	2.0321%	7.29万亿 (7,287,236,000,000)	26.2407%
1993	4447.31亿 (444,731,282,436)	1.7199%	6.86万亿 (6,858,559,000,000)	26.5241%
1992	4269.16亿 (426,915,712,711)	1.6773%	6.52万亿 (6,520,327,000,000)	25.6172%
1991	3833.73亿 (383,373,318,083)	1.5996%	6.16万亿 (6,158,129,000,000)	25.6947%
1990	3608.58亿 (360,857,912,565)	1.5949%	5.96万亿 (5,963,144,000,000)	26.3548%
1989	3477.68亿 (347,768,051,311)	1.7313%	5.64万亿 (5,641,580,000,000)	28.0851%
1988	3123.54亿 (312,353,631,207)	1.6231%	5.24万亿 (5,236,438,000,000)	27.2106%
1987	2729.73亿 (272,972,974,764)	1.5870%	4.86万亿 (4,855,215,000,000)	28.2264%
1986	3007.58亿 (300,758,100,107)	1.9893%	4.58万亿 (4,579,631,000,000)	30.2915%
1985	3094.88亿 (309,488,028,132)	2.4191%	4.34万亿 (4,338,979,000,000)	33.9159%
